participant_id,segment_id,sample_index,time_seconds,ecg_filtered_normalized,ppg_filtered_normalized
p000001_1,official_train_row_1,0,0.0,0.12738506495952606,0.038951948285102844
p000001_1,official_train_row_1,1,0.008,0.14452897012233734,0.04950689524412155
p000001_1,official_train_row_1,2,0.016,0.16197100281715393,0.06419501453638077
p000001_1,official_train_row_1,3,0.024,0.1830652803182602,0.08347678929567337
p000001_1,official_train_row_1,4,0.032,0.20164348185062408,0.10786142200231552
p000001_1,official_train_row_1,5,0.04,0.21077902615070343,0.13749977946281433
p000001_1,official_train_row_1,6,0.048,0.21275953948497772,0.17253638803958893
p000001_1,official_train_row_1,7,0.056,0.2044006884098053,0.21278589963912964
p000001_1,official_train_row_1,8,0.064,0.17639943957328796,0.2578628957271576
p000001_1,official_train_row_1,9,0.072,0.13518181443214417,0.307351678609848
p000001_1,official_train_row_1,10,0.08,0.09944459795951843,0.36043816804885864
p000001_1,official_train_row_1,11,0.088,0.07887118309736252,0.41618627309799194
p000001_1,official_train_row_1,12,0.096,0.07426284998655319,0.47361117601394653
p000001_1,official_train_row_1,13,0.104,0.08230841159820557,0.5315288305282593
p000001_1,official_train_row_1,14,0.112,0.09370802342891693,0.588726818561554
p000001_1,official_train_row_1,15,0.12,0.10142824798822403,0.6440771818161011
p000001_1,official_train_row_1,16,0.128,0.10190550237894058,0.6964529156684875
p000001_1,official_train_row_1,17,0.136,0.09445790201425552,0.744762122631073
p000001_1,official_train_row_1,18,0.144,0.11032404005527496,0.7881358861923218
p000001_1,official_train_row_1,19,0.152,0.21890157461166382,0.8258580565452576
